# Index: draw
# Unit: none

Draw,ge_empirical_distribution_lowpass
799,0.72480917
800,0.45389611
801,0.90314662
802,0.66680509
803,0.51901275
804,0.34505558
805,0.9835912
806,0.90095931
807,0.85173535
808,0.57394886
809,0.52011007
810,0.79184633
811,0.47416973
812,0.62274659
813,0.82300687
814,0.65247059
815,0.64982682
816,0.43528879
817,0.52748889
818,0.52836388
819,0.47535267
820,0.72993547
821,-2.0761027
822,0.5620665
823,0.45071334
824,0.7332775
825,0.43717152
826,0.4603591
827,0.65774184
828,0.10582119
829,0.30481833
830,0.30161169
831,0.69816691
832,0.7240091
833,0.83483011
834,0.50251943
835,0.8158657
836,-0.16279191
837,0.68368673
838,0.73947138
839,0.34643361
840,0.096460849
841,0.43775129
842,0.25870675
843,0.6595034
844,0.51920062
845,0.77537143
846,0.7277171
847,0.6001175
848,0.79778111
849,0.61902958
850,0.53027886
851,0.61853915
852,0.4785465
853,0.64479959
854,0.50916052
855,0.46046576
856,0.25120813
857,0.81803507
858,0.64610171
859,0.28890121
860,0.8270874
861,0.19335636
862,0.60673583
863,0.6993289
864,0.37904584
865,0.39909965
866,0.6438508
867,0.51980245
868,0.18042465
869,0.93291467
870,0.65622938
871,0.60914063
872,0.64091074
873,0.60866112
874,0.66530788
875,-1.6805092
876,0.61853546
877,0.54499793
878,0.76606578
879,0.62579548
880,0.86057818
881,0.87542635
882,0.92148632
883,0.51510352
884,0.74892372
885,0.79110467
886,0.68485487
887,0.42048773
888,0.53011853
889,0.72418141
890,0.7403478
891,0.91462904
892,0.96968305
893,0.60394323
894,0.59394532
895,-0.73947448
896,-1.1409829
897,0.65017062
898,0.37635019
899,0.84752357
900,0.45690644
901,0.82786417
902,1.0331992
903,0.55976564
904,0.91347641
905,0.79847628
906,0.4782756
907,0.88870305
908,0.86853063
909,0.81409186
910,0.64100122
911,0.57539952
912,-0.38213107
913,0.39011285
914,0.49794936
915,0.70739239
916,0.68568808
917,0.5615567
918,0.82770592
919,0.77915013
920,0.44957796
921,0.28309238
922,0.67500925
923,0.68493998
924,0.78208977
925,0.75967401
926,0.59699261
927,0.2661176
928,0.54445106
929,0.35443825
930,0.62098974
931,0.76658106
932,0.79852456
933,0.65168709
934,0.69332421
935,0.89798313
936,0.66657984
937,0.60150421
938,0.86562765
939,0.32682967
940,0.4598783
941,0.3269009
942,0.68771547
943,0.63307768
944,0.84659231
945,-0.047080025
946,0.65613276
947,0.051635697
948,0.10541844
949,0.91897798
950,0.093252964
951,0.19375134
952,0.79958218
953,-0.02393556
954,0.45281389
955,0.57343364
956,-0.33145732
957,0.73986089
958,1.051204
959,0.38020426
960,0.82827753
961,-0.44232097
962,0.49150535
963,0.91486067
964,0.65082896
965,0.6551137
966,-0.18712625
967,0.65382117
968,0.83576936
969,0.80853444
970,0.47177279
971,0.73734009
972,0.66852254
973,0.75957417
974,0.61717087
975,0.54874742
976,0.47306487
977,0.61120588
978,0.64937371
979,-0.14097489
980,0.43059358
981,0.45318845
982,0.55138379
983,0.9725005
984,0.93997914
985,0.31839123
986,0.69331044
987,0.65029484
988,0.56110066
989,0.4985587
990,0.79006279
991,0.83404875
992,0.69878674
993,0.75032139
994,0.58967495
995,0.35267782
996,0.52583826
997,0.69884652
998,0.44582364
999,0.62413055
1000,0.79607236
1001,0.63072574
1002,0.61830956
1003,0.75494581
1004,0.38707802
1005,0.73004013
1006,0.61250412
1007,0.30768076
1008,0.53471893
1009,0.19428404
1010,0.069828942
1011,0.97249979
1012,0.90257519
1013,0.67635
1014,0.70346493
1015,0.70868689
1016,0.94067007
1017,0.90342665
1018,-0.040158
1019,0.54368979
1020,0.68550539
1021,0.45237538
1022,0.22833227
1023,0.12448847
1024,0.74155086
1025,0.11870825
1026,0.58904201
1027,0.34394991
1028,0.42405114
1029,0.57704145
1030,0.7531082
1031,0.50140226
1032,0.75949764
1033,0.47699094
1034,0.36359391
1035,0.95865554
1036,0.51079315
1037,0.72170717
1038,0.98527783
1039,0.36983579
1040,0.41082138
1041,0.21651445
1042,0.28927651
1043,0.97524679
1044,0.063480727
1045,0.75651789
1046,0.73694211
1047,0.24489564
1048,0.50322068
1049,0.73204172
1050,0.94523311
1051,0.77191186
1052,0.86805713
1053,0.71517563
1054,0.7657311
1055,0.70523256
1056,0.79078341
1057,0.38855922
1058,0.64235145
1059,0.15819788
1060,-0.14306515
1061,0.86055636
1062,0.42477858
1063,0.53126651
1064,0.12857696
1065,0.6663484
1066,0.25344107
1067,0.50072986
1068,0.55864608
1069,0.39674237
1070,0.44186985
1071,0.18617032
1072,0.4078393
1073,0.64678967
1074,0.44016725
1075,0.90559608
1076,1.0229865
1077,0.51477647
1078,0.54100519
1079,0.31995016
1080,0.62031448
1081,0.81097734
1082,0.65307182
1083,0.13140373
1084,0.71607471
1085,0.8285898
1086,0.20747136
1087,0.43927115
1088,0.69194913
1089,0.23087233
1090,0.44197303
1091,0.80790418
1092,0.73675555
1093,0.33709338
1094,0.64481491
1095,0.66371506
1096,0.62616599
1097,0.41879371
1098,0.77075142
1099,0.66121536
1100,0.82144642
1101,0.66740215
1102,0.50084013
1103,0.42007741
1104,0.62949169
1105,0.75965917
1106,1.1060566
1107,0.07629101
1108,0.6072647
1109,0.37425771
1110,0.66859555
1111,0.36776382
1112,0.54195893
1113,0.95508873
1114,0.5489589
1115,0.4656232
1116,0.7518546
1117,0.19163895
1118,0.47283593
1119,0.66947538
1120,0.64196491
1121,0.10965894
1122,0.97523868
1123,0.6504755
1124,0.26209348
1125,0.4921442
1126,0.51478118
1127,0.77755147
1128,0.69617462
1129,0.37752399
1130,0.50416642
1131,0.89133632
1132,0.41798002
1133,0.73989272
1134,0.85174316
1135,0.72894871
1136,0.45566738
1137,0.67629665
1138,0.57753557
1139,0.72240597
1140,0.53072327
1141,0.29592106
1142,0.68191433
1143,0.73339343
1144,0.3974587
1145,0.82240254
1146,0.182684
1147,0.29959393
1148,0.81816596
1149,0.67743844
1150,0.85352129
1151,0.50144166
1152,0.81191772
1153,0.72102392
1154,0.922001
1155,0.68621045
1156,0.63403493
1157,0.26569283
1158,0.9272607
1159,0.55809915
1160,0.72344255
1161,0.2333096
1162,0.80227327
1163,0.70314085
1164,0.60118639
1165,0.98936105
1166,0.78178865
1167,0.61100513
1168,0.62465119
1169,0.66827267
1170,0.8721242
1171,0.41457772
1172,0.74513179
1173,0.42449328
1174,0.71422637
1175,0.32867658
1176,0.49960756
1177,0.7185936
1178,0.51457405
1179,0.38591695
1180,0.53132242
1181,0.33289236
1182,0.7699731
1183,0.74163729
1184,0.16236509
1185,0.55440211
1186,0.64329946
1187,0.73860496
1188,0.60917199
1189,0.91549253
1190,0.63834077
1191,0.7597245
1192,0.52557051
1193,0.53564149
1194,0.37708688
1195,0.62722248
1196,0.31310347
1197,0.34459576
1198,0.92757386
1199,0.12008335
1200,0.287678
1201,0.70673603
1202,0.70890391
1203,0.74492419
1204,0.92348313
1205,0.41609263
1206,0.74254751
1207,0.63756102
1208,0.35645425
1209,0.49426919
1210,0.42249697
1211,0.58904153
1212,0.58821112
1213,0.55268657
1214,0.73616564
1215,0.75366056
1216,0.71712923
1217,0.64865088
1218,0.89564717
1219,0.65491551
1220,0.62882876
1221,0.92817056
1222,0.74836427
1223,0.52452964
1224,0.48560828
1225,0.7195248
1226,0.62710088
1227,0.71305287
1228,0.8582989
1229,0.71316624
1230,0.64301389
1231,0.46249714
1232,0.50532037
1233,0.24945121
1234,0.68547958
1235,1.0031919
1236,0.9358604
1237,0.81430203
1238,0.62453276
1239,0.65930468
1240,0.54442155
1241,0.49345726
1242,0.77358246
1243,0.62699419
1244,0.62641037
1245,0.91323102
1246,0.44549412
1247,0.63379794
1248,0.77294165
1249,0.44116697
1250,0.61666197
1251,0.69823384
1252,0.72497147
1253,0.78786892
1254,0.68517548
1255,0.54257029
1256,0.73506153
1257,0.57567
1258,0.52138275
1259,0.71912187
1260,0.80468762
1261,0.5098269
1262,0.56835717
1263,0.70098096
1264,0.60211635
1265,0.71565419
1266,0.29637212
1267,0.81075954
1268,0.22321059
1269,0.50920725
1270,0.86770082
1271,0.80787933
1272,0.51198941
1273,0.56014293
1274,0.79544568
1275,0.29164803
1276,0.79035193
1277,0.91525638
1278,0.093979776
1279,0.552948
1280,0.87309468
1281,0.8408792
1282,0.49311703
1283,0.61372137
1284,0.60666364
1285,0.97603858
1286,0.35931638
1287,0.79772502
1288,0.68785053
